date,open,high,low,close,volume
2021-10-28 13:30:00+00:00,11.399999618530273,11.654999732971191,11.100000381469727,11.3100004196167,13280
2021-10-29 13:30:00+00:00,11.475000381469727,11.489999771118164,11.100000381469727,11.15999984741211,14307
2021-11-01 13:30:00+00:00,11.25,11.6850004196167,11.175000190734863,11.414999961853027,12147
2021-11-02 13:30:00+00:00,11.414999961853027,11.699999809265137,11.25,11.699999809265137,11253
2021-11-03 13:30:00+00:00,11.444999694824219,12.359999656677246,11.444999694824219,12.359999656677246,19707
2021-11-04 13:30:00+00:00,12.28499984741211,12.539999961853027,11.729999542236328,11.984999656677246,8960
2021-11-05 13:30:00+00:00,11.774999618530273,12.149999618530273,11.175000190734863,12.149999618530273,24600
2021-11-08 14:30:00+00:00,11.850000381469727,12.135000228881836,11.609999656677246,11.984999656677246,7193
2021-11-09 14:30:00+00:00,12.149999618530273,12.225000381469727,11.625,11.850000381469727,9400
2021-11-10 14:30:00+00:00,11.609999656677246,12.0,11.399999618530273,11.430000305175781,7133
2021-11-11 14:30:00+00:00,11.430000305175781,12.0,11.265000343322754,11.744999885559082,9453
2021-11-12 14:30:00+00:00,11.925000190734863,12.0,11.399999618530273,11.475000381469727,5820
2021-11-15 14:30:00+00:00,11.399999618530273,12.0,11.295000076293945,11.625,7180
2021-11-16 14:30:00+00:00,11.550000190734863,11.625,11.25,11.444999694824219,9220
2021-11-17 14:30:00+00:00,11.399999618530273,11.550000190734863,11.100000381469727,11.385000228881836,11900
2021-11-18 14:30:00+00:00,11.25,11.25,10.949999809265137,11.100000381469727,25367
2021-11-19 14:30:00+00:00,10.800000190734863,11.100000381469727,10.664999961853027,10.96500015258789,16600
2021-11-22 14:30:00+00:00,10.649999618530273,11.175000190734863,10.050000190734863,10.154999732971191,24353
2021-11-23 14:30:00+00:00,10.350000381469727,10.5,9.899999618530273,10.020000457763672,8667
2021-11-24 14:30:00+00:00,9.930000305175781,10.050000190734863,9.300000190734863,10.005000114440918,29793
2021-11-26 14:30:00+00:00,9.300000190734863,10.109999656677246,9.300000190734863,9.899999618530273,9167
2021-11-29 14:30:00+00:00,10.050000190734863,10.350000381469727,9.600000381469727,9.614999771118164,21220
2021-11-30 14:30:00+00:00,9.75,9.869999885559082,9.600000381469727,9.795000076293945,13167
2021-12-01 14:30:00+00:00,9.449999809265137,10.050000190734863,9.300000190734863,9.404999732971191,25947
2021-12-02 14:30:00+00:00,9.3149995803833,9.704999923706055,9.300000190734863,9.300000190734863,8807
2021-12-03 14:30:00+00:00,9.449999809265137,9.449999809265137,8.34000015258789,8.5649995803833,42260
2021-12-06 14:30:00+00:00,8.5649995803833,9.3149995803833,8.34000015258789,8.670000076293945,19127
2021-12-07 14:30:00+00:00,8.699999809265137,9.149999618530273,8.595000267028809,8.9399995803833,13793
2021-12-08 14:30:00+00:00,8.835000038146973,9.720000267028809,8.835000038146973,9.149999618530273,16887
2021-12-09 14:30:00+00:00,9.210000038146973,9.600000381469727,9.0,9.0,15127
2021-12-10 14:30:00+00:00,9.104999542236328,9.449999809265137,9.0,9.3149995803833,6733
2021-12-13 14:30:00+00:00,9.449999809265137,9.449999809265137,8.579999923706055,8.6850004196167,8973
2021-12-14 14:30:00+00:00,8.699999809265137,8.699999809265137,8.279999732971191,8.279999732971191,8827
2021-12-15 14:30:00+00:00,8.265000343322754,8.414999961853027,7.53000020980835,8.114999771118164,20213
2021-12-16 14:30:00+00:00,8.114999771118164,8.34000015258789,7.800000190734863,8.069999694824219,8747
2021-12-17 14:30:00+00:00,7.949999809265137,8.204999923706055,7.800000190734863,8.1899995803833,10613
2021-12-20 14:30:00+00:00,8.204999923706055,8.550000190734863,7.800000190734863,8.055000305175781,19587
2021-12-21 14:30:00+00:00,8.085000038146973,8.100000381469727,7.590000152587891,7.800000190734863,21380
2021-12-22 14:30:00+00:00,7.800000190734863,8.130000114440918,7.724999904632568,7.934999942779541,11233
2021-12-23 14:30:00+00:00,7.829999923706055,8.100000381469727,7.590000152587891,8.069999694824219,16347
2021-12-27 14:30:00+00:00,7.679999828338623,8.069999694824219,7.275000095367432,7.53000020980835,37847
2021-12-28 14:30:00+00:00,7.695000171661377,7.784999847412109,7.215000152587891,7.244999885559082,21380
2021-12-29 14:30:00+00:00,7.050000190734863,7.335000038146973,6.690000057220459,6.900000095367432,32887
2021-12-30 14:30:00+00:00,6.75,7.349999904632568,6.704999923706055,7.050000190734863,39287
2021-12-31 14:30:00+00:00,6.75,7.09499979019165,6.014999866485596,6.150000095367432,90353
2022-01-03 14:30:00+00:00,6.375,6.75,6.224999904632568,6.614999771118164,25900
2022-01-04 14:30:00+00:00,6.75,7.199999809265137,6.75,7.019999980926514,28173
2022-01-05 14:30:00+00:00,7.050000190734863,7.199999809265137,6.599999904632568,6.71999979019165,24553
2022-01-06 14:30:00+00:00,6.614999771118164,6.989999771118164,6.375,6.494999885559082,10107
2022-01-07 14:30:00+00:00,6.614999771118164,7.019999980926514,6.420000076293945,6.494999885559082,13113
2022-01-10 14:30:00+00:00,6.599999904632568,6.78000020980835,6.045000076293945,6.34499979019165,16707
2022-01-11 14:30:00+00:00,6.150000095367432,6.75,6.150000095367432,6.494999885559082,7020
2022-01-12 14:30:00+00:00,6.525000095367432,6.690000057220459,6.300000190734863,6.389999866485596,10820
2022-01-13 14:30:00+00:00,6.360000133514404,6.675000190734863,6.150000095367432,6.239999771118164,11467
2022-01-14 14:30:00+00:00,6.150000095367432,6.570000171661377,6.03000020980835,6.300000190734863,13107
2022-01-18 14:30:00+00:00,6.300000190734863,7.050000190734863,6.105000019073486,6.300000190734863,6640
2022-01-19 14:30:00+00:00,6.300000190734863,6.599999904632568,6.074999809265137,6.210000038146973,6920
2022-01-20 14:30:00+00:00,6.150000095367432,6.449999809265137,6.074999809265137,6.224999904632568,4813
2022-01-21 14:30:00+00:00,6.0,6.300000190734863,5.400000095367432,5.59499979019165,37313
2022-01-24 14:30:00+00:00,5.474999904632568,5.519999980926514,4.079999923706055,4.635000228881836,63993
2022-01-25 14:30:00+00:00,4.5,5.25,4.5,5.114999771118164,16333
2022-01-26 14:30:00+00:00,5.25,5.519999980926514,4.949999809265137,4.949999809265137,8727
2022-01-27 14:30:00+00:00,5.400000095367432,5.400000095367432,4.53000020980835,4.815000057220459,9800
2022-01-28 14:30:00+00:00,4.800000190734863,5.324999809265137,4.650000095367432,5.099999904632568,9500
2022-01-31 14:30:00+00:00,5.25,5.820000171661377,4.679999828338623,5.324999809265137,15167
