ticker,Total_Profit,Avg_Profit,Trades,Avg_Return,Avg_Hold_Days,Win_Rate
AMGN,-60.87,-30.43,2,-0.03,13.0,0.0
ALGM,-61.61,-30.81,2,-0.01,20.0,0.5
BLKB,-64.47,-64.47,1,-0.04,56.0,0.0
BLBD,-66.75,-66.75,1,-0.04,14.0,0.0
ARGX,-67.43,-33.71,2,-0.02,10.5,0.0
AHCO,-80.4,-40.2,2,-0.02,17.5,0.0
ASLE,-80.45,-80.45,1,-0.06,19.0,0.0
AOUT,-80.64,-40.32,2,-0.03,12.5,0.5
ASTS,-93.28,-93.28,1,-0.07,6.0,0.0
ALVO,-100.38,-100.38,1,-0.05,19.0,0.0
ALKS,-120.48,-60.24,2,-0.03,14.0,0.0
ALMS,-122.7,-122.7,1,-0.06,20.0,0.0
AMZN,-132.93,-132.93,1,-0.05,14.0,0.0
AVDL,-140.99,-70.49,2,-0.07,14.5,0.0
ANGO,-141.07,-47.02,3,-0.03,15.0,0.3333333333333333
AGIO,-142.57,-71.29,2,-0.04,15.0,0.0
ACAD,-147.77,-49.26,3,-0.03,21.67,0.3333333333333333
ALLT,-160.93,-80.47,2,-0.04,25.0,0.0
ALHC,-184.16,-61.39,3,-0.04,15.33,0.0
CLSK,-204.62,-204.62,1,-0.15,14.0,0.0
AOSL,-205.49,-102.75,2,-0.0,36.0,0.5
ATGL,-274.73,-274.73,1,-0.14,15.0,0.0
AFRM,-452.62,-90.52,5,-0.05,14.4,0.2
