Ticker,Entrada,Salida,Precio Entrada,Precio Salida,Stop,Objetivo,Resultado (R),Motivo
AIOT,2024-05-21,2024-05-22,5.449999809265137,5.231999816894531,5.231999816894531,5.885999794006349,-1.0,stop
AIRG,2020-08-20,2020-08-21,13.630000114440918,13.08480010986328,13.08480010986328,14.720400123596193,-1.0,stop
AIRG,2020-08-31,2020-08-31,13.84000015258789,13.286400146484375,13.286400146484375,14.947200164794921,-1.0,stop
AIRG,2024-04-04,2024-04-05,5.5,5.279999999999999,5.279999999999999,5.940000000000001,-1.0,stop
AKRO,2024-01-29,2024-02-01,22.110000610351562,21.2256005859375,21.2256005859375,23.87880065917969,-1.0,stop
ALM,2021-04-12,2021-04-13,1.912500023841858,1.8360000228881834,1.8360000228881834,2.065500025749207,-1.0,stop
ALM,2021-05-17,2021-05-21,2.0250000953674316,2.1870001029968265,1.9440000915527342,2.1870001029968265,2.0,target
ALNY,2022-09-06,2022-09-08,204.39999389648438,220.75199340820313,196.223994140625,220.75199340820313,2.0,target
ALRM,2020-06-25,2020-07-06,63.650001525878906,68.74200164794922,61.10400146484375,68.74200164794922,2.0,target
ALVO,2023-01-03,2023-01-06,10.050000190734863,10.854000205993653,9.648000183105468,10.854000205993653,2.0,target
ALVO,2023-01-30,2023-02-08,12.010000228881836,12.970800247192383,11.529600219726563,12.970800247192383,2.0,target
ALVO,2023-02-24,2023-02-27,13.3100004196167,14.374800453186037,12.77760040283203,14.374800453186037,2.0,target
ALVO,2023-03-07,2023-03-08,14.100000381469727,13.536000366210937,13.536000366210937,15.228000411987306,-1.0,stop
AMBR,2023-12-01,2024-04-18,3.7300000190734863,3.580800018310547,3.580800018310547,4.028400020599365,-1.0,stop
AMD,2020-08-20,2020-08-25,79.73999786376953,86.1191976928711,76.55039794921875,86.1191976928711,2.0,target
AMD,2020-10-16,2020-10-21,83.54000091552734,80.19840087890624,80.19840087890624,90.22320098876955,-1.0,stop
AMD,2023-04-05,2023-04-14,94.3499984741211,90.57599853515624,90.57599853515624,101.89799835205079,-1.0,stop
AMPGW,2021-11-19,2021-11-19,1.7799999713897705,1.7087999725341796,1.7087999725341796,1.9223999691009523,-1.0,stop
AMPGW,2023-04-27,2023-05-01,0.5899999737739563,0.566399974822998,0.566399974822998,0.637199971675873,-1.0,stop
AMPGW,2024-04-24,2024-05-07,0.17499999701976776,0.16799999713897704,0.16799999713897704,0.1889999967813492,-1.0,stop
AMPH,2022-04-01,2022-04-07,36.13999938964844,39.03119934082032,34.694399414062495,39.03119934082032,2.0,target
AMRK,2020-09-02,2020-09-10,12.050000190734863,13.014000205993653,11.568000183105468,13.014000205993653,2.0,target
AMRX,2024-01-29,2024-01-30,5.639999866485596,5.414399871826172,5.414399871826172,6.091199855804444,-1.0,stop
AMTX,2020-06-29,2020-07-10,0.8019999861717224,0.7699199867248535,0.7699199867248535,0.8661599850654602,-1.0,stop
AMWD,2020-07-23,2020-07-29,75.41000366210938,81.44280395507812,72.393603515625,81.44280395507812,2.0,target
AMWD,2020-08-17,2020-08-25,89.31999969482422,85.74719970703124,85.74719970703124,96.46559967041017,-1.0,stop
ANDE,2020-10-12,2020-10-14,19.65999984741211,21.23279983520508,18.873599853515625,21.23279983520508,2.0,target
ANGI,2023-07-10,2023-07-12,32.5,35.1,31.2,35.1,2.0,target
ANGO,2021-02-26,2021-03-09,20.479999542236328,22.118399505615237,19.660799560546874,22.118399505615237,2.0,target
APEI,2024-12-06,2024-12-16,21.15999984741211,22.852799835205083,20.313599853515623,22.852799835205083,2.0,target
APLS,2023-04-18,2023-04-24,82.69000244140625,89.30520263671875,79.38240234375,89.30520263671875,2.0,target
APP,2021-11-05,2021-11-10,98.83999633789062,94.886396484375,94.886396484375,106.74719604492188,-1.0,stop
APP,2023-07-19,2023-07-20,28.600000381469727,27.456000366210937,27.456000366210937,30.888000411987306,-1.0,stop
APP,2024-05-22,2024-05-22,83.9000015258789,80.54400146484375,80.54400146484375,90.61200164794923,-1.0,stop
ARAY,2023-03-03,2023-03-09,2.950000047683716,2.832000045776367,2.832000045776367,3.1860000514984135,-1.0,stop
ARAY,2023-03-30,2023-04-05,2.869999885559082,2.7551998901367187,2.7551998901367187,3.0995998764038086,-1.0,stop
ARAY,2023-07-27,2023-07-31,3.9800000190734863,4.298400020599366,3.8208000183105466,4.298400020599366,2.0,target
ARCB,2020-08-20,2020-08-27,31.81999969482422,34.365599670410155,30.54719970703125,34.365599670410155,2.0,target
ARCB,2020-12-28,2021-01-06,43.869998931884766,47.379598846435556,42.11519897460937,47.379598846435556,2.0,target
ARCB,2021-04-16,2021-04-19,75.13999938964844,72.1343994140625,72.1343994140625,81.15119934082031,-1.0,stop
ARHS,2023-07-27,2023-07-27,11.529999732971191,11.068799743652344,11.068799743652344,12.452399711608887,-1.0,stop
ARKO,2024-07-30,2024-08-02,6.460000038146973,6.201600036621094,6.201600036621094,6.9768000411987305,-1.0,stop
ARWR,2023-06-16,2023-06-20,36.599998474121094,35.13599853515625,35.13599853515625,39.52799835205079,-1.0,stop
ARWR,2023-06-27,2023-07-06,35.5,34.08,34.08,38.34,-1.0,stop
ASMB,2024-02-26,2024-02-27,11.319999694824219,12.225599670410158,10.867199707031249,12.225599670410158,2.0,target
ASTH,2024-10-03,2024-10-16,58.060001373291016,62.7048014831543,55.737601318359374,62.7048014831543,2.0,target
ASUR,2022-12-01,2022-12-01,7.849999904632568,8.477999897003174,7.535999908447265,8.477999897003174,2.0,target
ASUR,2023-02-13,2023-02-15,10.640000343322754,10.214400329589843,10.214400329589843,11.491200370788576,-1.0,stop
ATEC,2024-01-29,2024-02-13,16.299999237060547,15.647999267578124,15.647999267578124,17.603999176025393,-1.0,stop
ATLC,2020-10-28,2020-10-29,12.210000038146973,11.721600036621094,11.721600036621094,13.18680004119873,-1.0,stop
ATLC,2023-07-17,2023-07-27,41.33000183105469,39.6768017578125,39.6768017578125,44.636401977539066,-1.0,stop
ATRO,2021-04-09,2021-04-12,18.489999771118164,17.750399780273437,17.750399780273437,19.96919975280762,-1.0,stop
AVNW,2020-08-07,2020-08-10,10.4350004196167,10.01760040283203,10.01760040283203,11.269800453186036,-1.0,stop
AXGN,2024-09-09,2024-09-16,13.039999961853027,14.08319995880127,12.518399963378906,14.08319995880127,2.0,target
AXSM,2024-02-06,2024-02-20,94.25,90.47999999999999,90.47999999999999,101.79000000000002,-1.0,stop
AXTI,2020-01-16,2020-01-17,4.449999809265137,4.805999794006349,4.271999816894531,4.805999794006349,2.0,target
AYTU,2023-12-22,2023-12-29,2.950000047683716,2.832000045776367,2.832000045776367,3.1860000514984135,-1.0,stop
AZTA,2020-06-30,2020-07-13,42.970001220703125,46.40760131835938,41.251201171874996,46.40760131835938,2.0,target
BAND,2024-05-20,2024-05-22,22.020000457763672,21.139200439453123,21.139200439453123,23.78160049438477,-1.0,stop
BBCP,2020-01-02,2020-01-06,5.480000019073486,5.2608000183105466,5.2608000183105466,5.918400020599366,-1.0,stop
BBCP,2020-02-05,2020-02-06,5.130000114440918,5.540400123596191,4.924800109863281,5.540400123596191,2.0,target
BBCP,2021-02-16,2021-02-16,6.0,6.48,5.76,6.48,2.0,target
BBCP,2021-02-25,2021-02-26,6.599999904632568,6.335999908447265,6.335999908447265,7.127999897003175,-1.0,stop
BBLGW,2023-02-22,2023-02-23,0.04800000041723251,0.04608000040054321,0.04608000040054321,0.051840000450611115,-1.0,stop
BBLGW,2023-03-15,2023-03-20,0.050999999046325684,0.048959999084472655,0.048959999084472655,0.05507999897003174,-1.0,stop
BBLGW,2023-03-28,2023-04-11,0.03999999910593033,0.04319999903440476,0.03839999914169311,0.04319999903440476,2.0,target
BBLGW,2024-04-26,2024-04-30,21.0,22.68,20.16,22.68,2.0,target
BBLGW,2024-05-24,2024-05-28,35.02000045776367,33.619200439453124,33.619200439453124,37.82160049438477,-1.0,stop
BBLGW,2024-05-30,2024-05-31,33.5,36.18000000000001,32.16,36.18000000000001,2.0,target
BBLGW,2024-06-10,2024-06-18,41.619998931884766,39.955198974609374,39.955198974609374,44.94959884643555,-1.0,stop
BBSI,2020-07-07,2020-07-09,13.024999618530273,12.503999633789062,12.503999633789062,14.066999588012695,-1.0,stop
BCDA,2022-09-20,2022-09-20,30.0,28.799999999999997,28.799999999999997,32.400000000000006,-1.0,stop
BCDA,2022-11-02,2022-11-04,29.100000381469727,27.936000366210937,27.936000366210937,31.428000411987306,-1.0,stop
BCIC,2020-06-24,2020-06-24,12.399999618530273,11.903999633789063,11.903999633789063,13.391999588012695,-1.0,stop
BCIC,2021-01-20,2021-02-11,19.0,20.520000000000003,18.24,20.520000000000003,2.0,target
BCML,2020-12-29,2021-01-27,15.25,14.639999999999999,14.639999999999999,16.470000000000002,-1.0,stop
BCTX,2020-02-14,2020-02-18,182.1999969482422,174.91199707031248,174.91199707031248,196.7759967041016,-1.0,stop
BCTX,2020-03-09,2020-03-12,132.6999969482422,127.3919970703125,127.3919970703125,143.31599670410156,-1.0,stop
BELFA,2021-01-25,2021-01-26,15.399999618530273,14.783999633789062,14.783999633789062,16.631999588012697,-1.0,stop
BELFB,2020-01-02,2020-01-03,20.719999313354492,19.89119934082031,19.89119934082031,22.377599258422855,-1.0,stop
BELFB,2023-07-27,2023-07-27,57.0,54.72,54.72,61.56,-1.0,stop
